epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.5279,1.24696,2.04693,1.12045,0.83651,0.81024,0.83813,0.59637,1.03209,1.04286,1.02255,0.000553435,0.000553435,0.000553435
2,175.017,1.01655,0.96564,1.00943,0.84781,0.85792,0.87411,0.66715,0.89151,0.75343,0.97538,0.00108714,0.00108714,0.00108714
3,269.425,0.97807,0.80323,0.99365,0.84465,0.83835,0.88366,0.66005,0.93946,0.79002,0.988,0.00159884,0.00159884,0.00159884
4,353.39,0.96389,0.75839,0.99777,0.81972,0.88151,0.89497,0.67641,0.89462,0.69094,0.98224,0.00156798,0.00156798,0.00156798
5,437.023,0.92747,0.70086,0.97958,0.85014,0.87958,0.92134,0.71873,0.84211,0.61191,0.95591,0.00153497,0.00153497,0.00153497
6,520.764,0.90194,0.66625,0.97106,0.8629,0.90567,0.92651,0.72564,0.81175,0.56648,0.95149,0.00150197,0.00150197,0.00150197
7,604.663,0.87857,0.64012,0.96311,0.86146,0.91018,0.93638,0.73416,0.81456,0.5723,0.95134,0.00146896,0.00146896,0.00146896
8,690.362,0.87178,0.63205,0.96178,0.85314,0.91572,0.94162,0.75549,0.77852,0.53049,0.93675,0.00143595,0.00143595,0.00143595
9,775.546,0.85445,0.61294,0.95675,0.83894,0.93325,0.93881,0.74736,0.78706,0.53199,0.93786,0.00140295,0.00140295,0.00140295
10,871.279,0.83537,0.59711,0.95103,0.87655,0.89197,0.94005,0.75137,0.76545,0.52948,0.93068,0.00136994,0.00136994,0.00136994
11,974.777,0.836,0.59109,0.94851,0.86901,0.89137,0.94203,0.76122,0.76386,0.51041,0.93055,0.00133693,0.00133693,0.00133693
12,1077.71,0.81346,0.57571,0.94439,0.8769,0.88444,0.94252,0.76755,0.75946,0.51895,0.92973,0.00130393,0.00130393,0.00130393
13,1179.84,0.79774,0.55783,0.93779,0.85744,0.91591,0.94885,0.77558,0.74166,0.48679,0.91899,0.00127092,0.00127092,0.00127092
14,1282.15,0.79846,0.5634,0.93641,0.85149,0.93381,0.95166,0.77624,0.72876,0.483,0.92297,0.00123791,0.00123791,0.00123791
15,1378.04,0.78901,0.55664,0.93131,0.8644,0.93119,0.95663,0.78266,0.72354,0.47693,0.91597,0.00120491,0.00120491,0.00120491
16,1469.38,0.78768,0.53848,0.93003,0.87095,0.9207,0.95569,0.78047,0.7298,0.47099,0.91515,0.0011719,0.0011719,0.0011719
17,1558.66,0.78185,0.54895,0.93088,0.87865,0.92043,0.95657,0.78304,0.72153,0.47192,0.91867,0.00113889,0.00113889,0.00113889
18,1647.94,0.77534,0.53668,0.92885,0.84963,0.93947,0.95605,0.78203,0.72605,0.46817,0.91451,0.00110589,0.00110589,0.00110589
19,1744.7,0.77012,0.52617,0.92808,0.84684,0.95023,0.95048,0.78138,0.72804,0.47522,0.91791,0.00107288,0.00107288,0.00107288
20,1833.86,0.75795,0.52091,0.92187,0.87592,0.91098,0.95467,0.79173,0.70191,0.45496,0.90753,0.00103987,0.00103987,0.00103987
21,1925.52,0.76009,0.52068,0.92292,0.86786,0.92117,0.95856,0.79277,0.70427,0.45539,0.90913,0.00100687,0.00100687,0.00100687
22,2013.22,0.74823,0.51599,0.91758,0.8677,0.92675,0.95487,0.78733,0.70624,0.45888,0.90781,0.000973861,0.000973861,0.000973861
23,2100.82,0.74748,0.51322,0.91887,0.85769,0.93369,0.95512,0.7984,0.69304,0.44607,0.90589,0.000940855,0.000940855,0.000940855
24,2184.53,0.73327,0.49701,0.91354,0.88094,0.92737,0.95856,0.79806,0.6909,0.44003,0.90546,0.000907848,0.000907848,0.000907848
25,2288.67,0.73494,0.49304,0.91396,0.86858,0.92805,0.9582,0.79997,0.68372,0.44357,0.90236,0.000874842,0.000874842,0.000874842
26,2385.16,0.72101,0.48796,0.9102,0.87713,0.91932,0.96035,0.80494,0.67642,0.4349,0.90041,0.000841835,0.000841835,0.000841835
27,2480.54,0.73004,0.49435,0.91091,0.87863,0.91808,0.95929,0.80646,0.6695,0.43017,0.89799,0.000808828,0.000808828,0.000808828
28,2576.22,0.71595,0.48225,0.90973,0.86655,0.93366,0.96003,0.81104,0.66623,0.42652,0.8982,0.000775822,0.000775822,0.000775822
29,2670.48,0.71295,0.48063,0.9072,0.86872,0.93442,0.95955,0.81226,0.67019,0.42758,0.8987,0.000742815,0.000742815,0.000742815
30,2766.09,0.71081,0.47917,0.91,0.87428,0.92607,0.96016,0.81015,0.66163,0.41968,0.89444,0.000709809,0.000709809,0.000709809
31,2861.2,0.70479,0.46855,0.90491,0.87485,0.93021,0.96043,0.81115,0.66248,0.41698,0.8971,0.000676802,0.000676802,0.000676802
32,2957.62,0.69666,0.46545,0.90469,0.88315,0.9217,0.95784,0.80874,0.66304,0.415,0.89832,0.000643795,0.000643795,0.000643795
33,3052.14,0.69829,0.46545,0.90084,0.88999,0.91275,0.96088,0.81406,0.66193,0.41554,0.89541,0.000610789,0.000610789,0.000610789
34,3147.38,0.69329,0.46147,0.90038,0.88856,0.92157,0.9624,0.81345,0.65301,0.40868,0.89336,0.000577782,0.000577782,0.000577782
35,3243.45,0.67658,0.45146,0.89673,0.88149,0.92815,0.96145,0.81668,0.65364,0.40912,0.8923,0.000544776,0.000544776,0.000544776
36,3338.66,0.68078,0.44453,0.89645,0.85882,0.94638,0.96031,0.81467,0.65247,0.41686,0.89169,0.000511769,0.000511769,0.000511769
37,3434.12,0.67022,0.43612,0.89145,0.8771,0.93883,0.96307,0.82066,0.64623,0.40048,0.89294,0.000478762,0.000478762,0.000478762
38,3529.62,0.67061,0.43846,0.89172,0.88749,0.92071,0.96195,0.82213,0.64308,0.40735,0.88925,0.000445756,0.000445756,0.000445756
39,3625.69,0.66569,0.43184,0.8922,0.88339,0.93024,0.96265,0.82257,0.64014,0.40092,0.88933,0.000412749,0.000412749,0.000412749
40,3720.3,0.66463,0.43117,0.89239,0.88966,0.92218,0.96391,0.82092,0.64296,0.40011,0.88991,0.000379743,0.000379743,0.000379743
41,3839.79,0.61412,0.37231,0.8718,0.87146,0.93718,0.96258,0.8218,0.64558,0.40093,0.88985,0.000346736,0.000346736,0.000346736
42,3934.53,0.60497,0.361,0.87058,0.87364,0.93524,0.96468,0.82385,0.64397,0.39671,0.88909,0.000313729,0.000313729,0.000313729
43,4027.42,0.59743,0.35673,0.86881,0.87031,0.94231,0.96206,0.82451,0.63966,0.39783,0.88698,0.000280723,0.000280723,0.000280723
44,4122.63,0.58461,0.34765,0.86477,0.86173,0.9415,0.96302,0.82491,0.63984,0.3993,0.88782,0.000247716,0.000247716,0.000247716
45,4218.69,0.58593,0.34887,0.86517,0.88197,0.92457,0.96469,0.82583,0.63708,0.39364,0.88786,0.00021471,0.00021471,0.00021471
46,4314.11,0.58111,0.34008,0.86466,0.88448,0.92991,0.96324,0.82532,0.63542,0.39752,0.88685,0.000181703,0.000181703,0.000181703
